pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
2jby8a__8yg80s,2jby8a,8yg80s,True,,6,3,0,1.0,0.0,1.0,0.0,1.583
94aioh__3hrall,94aioh,3hrall,True,,2,4,0,1.0,0.0,1.0,0.0,1.583
1f29sj__6x8vfs,1f29sj,6x8vfs,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
3trvtu__8dcey9,3trvtu,8dcey9,True,,4,5,3,0.3333333333333333,0.6666666666666667,0.4135463734467824,0.5864536265532176,2.2654223751713833
1aya01__2zyy8b,1aya01,2zyy8b,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
6mp5gs__74jtj9,6mp5gs,74jtj9,True,,8,2,0,1.0,0.0,1.0,0.0,1.583
369ql2__9md2iv,369ql2,9md2iv,True,,1,9,0,1.0,0.0,1.0,0.0,1.583
77il2q__2pds06,77il2q,2pds06,True,,4,7,2,0.6666666666666666,0.33333333333333337,0.37452006712555885,0.6254799328744411,2.2345023759781073
now7m__1ojy01,now7m,1ojy01,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
31kul5__1ks3xk,31kul5,1ks3xk,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
75rxa9__7fen5q,75rxa9,7fen5q,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
27u6yl__1m5ee5,27u6yl,1m5ee5,True,,4,3,0,1.0,0.0,1.0,0.0,1.583
29avbx__8fx9pp,29avbx,8fx9pp,True,,3,1,0,1.0,0.0,1.0,0.0,1.583
3073nu__51u10t,3073nu,51u10t,True,,3,5,0,1.0,0.0,1.0,0.0,1.583
4a6dmz__5tie6d,4a6dmz,5tie6d,True,,4,1,0,1.0,0.0,1.0,0.0,1.583
2jjbo0__7bz8gd,2jjbo0,7bz8gd,True,,1,5,0,1.0,0.0,1.0,0.0,1.583
1rf4k7__99a3a2,1rf4k7,99a3a2,True,,5,3,0,1.0,0.0,1.0,0.0,1.583
6191u6__87cpzs,6191u6,87cpzs,True,,9,6,0,1.0,0.0,1.0,0.0,1.583
2d1da3__14jq74,2d1da3,14jq74,True,,2,6,0,1.0,0.0,1.0,0.0,1.583
9xvf4a__2o6c5s,9xvf4a,2o6c5s,True,,4,1,0,1.0,0.0,1.0,0.0,1.583
6y2fr3__21kx55,6y2fr3,21kx55,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
9tdjbp__93c7ul,9tdjbp,93c7ul,True,,5,1,0,1.0,0.0,1.0,0.0,1.583
3e24ab__4yt0jq,3e24ab,4yt0jq,True,,5,2,0,1.0,0.0,1.0,0.0,1.583
